date,open,close,high,low,volume,money
2011/1/10,4966.56,4830.56,4970.42,4816.58,3113786200,43833176246
2011/1/11,4811.16,4804.82,4815.5,4747.49,2750608900,36680616842
2011/1/12,4813.48,4833.58,4846.95,4764.47,2691439800,33842368207
2011/1/13,4851.68,4826.76,4859.53,4810.9,2544377300,32453204942
2011/1/14,4816.66,4723.43,4816.66,4719.15,2781177400,36531767728
2011/1/17,4690.88,4519.91,4691.57,4507.57,3067751000,38540848688
2011/1/18,4502.06,4536.96,4550.29,4483.5,1944286600,24231409864
2011/1/19,4538.99,4646.09,4646.09,4530.61,2436093800,31999372872
2011/1/20,4637.77,4477.36,4637.77,4476.56,2865246300,36214797899
2011/1/21,4459.99,4506.32,4549.59,4445.23,2709504200,33386899654
2011/1/24,4506.61,4398.49,4521.13,4397.02,2522068200,32074479982
2011/1/25,4390.16,4341.91,4392.22,4307.91,2133616900,26649035293
2011/1/26,4339.86,4424.89,4426.25,4339.86,1974312400,25235239648
2011/1/27,4397.93,4502.81,4514.43,4369.87,2796481700,35608939750
2011/1/28,4497.83,4548.21,4559.36,4493.84,2581766500,33231246887
2011/1/31,4544.33,4610.86,4611,4536.19,2640632200,34065114763
2011/2/1,4612.4,4630.58,4638.61,4604.91,2394669500,31851848756
2011/2/9,4597.54,4609.72,4654.59,4584.9,2754208500,35874081337
2011/2/10,4604.84,4733.97,4734.06,4602.33,3457825000,43583054975
2011/2/11,4736.27,4786.81,4803.1,4729.39,3991598300,51826099577
2011/2/14,4792.85,4872.49,4884.99,4792.85,4781513300,62502918176
2011/2/15,4878.68,4869.69,4932.33,4862.77,5155704100,68054571951
2011/2/16,4860.89,4952.67,4952.95,4855.95,4467136700,61015681747
2011/2/17,4962.13,4987.48,4990.75,4917.95,5044532700,68506795975
2011/2/18,4977.22,4941.43,4984.18,4915.67,4290671900,58436567945
2011/2/21,4911.81,5042.97,5043.25,4905.36,4737022000,64040480732
2011/2/22,5052.36,4909.74,5058.75,4908.25,5738196100,79490295533
2011/2/23,4891.24,4979.06,4983.23,4891.24,4483006400,61614316534
2011/2/24,4976.34,5027.73,5033.1,4963.76,5009068500,65190945277
2011/2/25,5019.5,5032.8,5039.79,4964.35,4445545000,57641320377
2011/2/28,5040.22,5095.21,5095.57,5007.65,5124278700,66627729267
2011/3/1,5099.7,5122.44,5143.77,5082.04,5779841800,77456783066
2011/3/2,5099.48,5108.74,5120.41,5024.86,5314279000,70893197822
2011/3/3,5106.39,5009.05,5124.61,5000.54,5171038900,67453574372
2011/3/4,5005.56,5067.62,5067.92,4989.65,4255960400,54570107259
2011/3/7,5085.45,5138.25,5138.65,5085.45,5747858800,77165909073
2011/3/8,5135.35,5165.73,5166.36,5113.09,5314008100,71456158892
2011/3/9,5168.13,5181.37,5186.03,5147.87,5114619700,69096749209
2011/3/10,5174.03,5143.41,5174.03,5139.78,5231988600,72055747928
2011/3/11,5118.07,5139.75,5200.7,5113.48,5171933500,70886655549
2011/3/14,5127.14,5190.04,5190.73,5111.01,5341013300,75553123090
2011/3/15,5178.09,5131.33,5178.09,5016.88,6333606400,85317312273
2011/3/16,5122.27,5199.36,5200.06,5119.19,5556131900,75781512600
2011/3/17,5151.64,5104.13,5185.41,5080.53,5674077700,74999674473
2011/3/18,5133.77,5126.93,5160.8,5105.06,4267683300,57094408873
2011/3/21,5120.67,5086.11,5130.93,5062.79,4191967500,55093792660
2011/3/22,5093.41,5085.81,5102.43,5020.76,3910699900,53595286191
2011/3/23,5084.77,5155.34,5155.59,5076.72,4637356000,60690171878
2011/3/24,5159.2,5169.26,5185.5,5149.66,4899669200,63827670882
2011/3/25,5164.82,5212.35,5218.06,5164.78,5857739700,75047768896
2011/3/28,5223.07,5199.55,5231.73,5187.45,6912303000,89292333979
2011/3/29,5185.68,5111.15,5191.54,5105.03,7033332700,87274614443
2011/3/30,5101.11,5064.55,5117.22,5036.29,5362860200,66256112915
2011/3/31,5065.12,5000.4,5079.23,4985.02,4579340300,56200997747
2011/4/1,4999.76,5065.08,5065.08,4991.79,3911730200,48618443215
2011/4/6,5046.9,5057.84,5070.34,5019.49,4571476100,58417048983
2011/4/7,5056.09,5089.75,5090.02,5045.19,4496888600,57683810293
2011/4/8,5087.31,5148.8,5149.05,5079.65,4537160400,58374692881
2011/4/11,5157.07,5107.14,5162.49,5102.71,5261755000,66933358490
2011/4/12,5096.57,5114.46,5139.03,5083.39,5271436500,63128234949
2011/4/13,5098.64,5165.21,5165.49,5069.39,4887132900,58014657947
2011/4/14,5162.31,5150.87,5175.24,5140,4891311900,59275613529
2011/4/15,5143.3,5162.41,5162.41,5103.09,5279411200,63287015102
2011/4/18,5149.34,5178.89,5179.45,5140.41,5646023100,69014028734
2011/4/19,5149.66,5116.14,5153.56,5095.6,6401797400,77177175059
2011/4/20,5116.11,5152.4,5154.74,5116.11,5087671500,63372008210
2011/4/21,5169.62,5188.11,5191.01,5159.96,5383070700,67225993144
2011/4/22,5187.76,5165.12,5193.21,5150.42,5498767000,65818514589
2011/4/25,5152.07,5054.77,5152.07,5054.77,5011404400,60598396125
2011/4/26,5033.79,4970.57,5047.34,4943.06,3925771800,46731467118
2011/4/27,4977.95,4913.5,5003.86,4872.51,4112825800,47874248469
2011/4/28,4920.94,4755.42,4937.11,4752.41,4077560200,46696455937
2011/4/29,4749.53,4836.87,4837,4738.45,3011031000,34952309552
2011/5/3,4836.86,4920.57,4920.71,4816.02,3546053500,42337029899
2011/5/4,4900.44,4814.78,4900.44,4798.41,4062791500,48501424167
2011/5/5,4792.13,4827.21,4842.37,4784.7,3470003100,39948589955
2011/5/6,4787.52,4849.97,4874.98,4764.84,3690577100,43482349641
2011/5/9,4855.84,4889.92,4897.76,4855.84,3456250800,41948703524
2011/5/10,4893.95,4918.67,4918.87,4871.45,3522454500,41590094339
2011/5/11,4919.24,4929.49,4949.02,4880.31,4237492400,49759156156
2011/5/12,4896.34,4863.8,4940.82,4863.12,4735557300,54364102761
2011/5/13,4860.03,4902.56,4903.11,4817.83,4246408300,49201045718
2011/5/16,4900,4900.71,4931.13,4892.24,4099534300,47185720435
2011/5/17,4892.29,4873.95,4912.71,4823.06,4686059500,53375981642
2011/5/18,4859.32,4906.19,4907.75,4850.45,3608075100,40258340759
2011/5/19,4912.81,4879.89,4929.21,4875.8,3468265600,40656806517
2011/5/20,4875.08,4863.19,4886.59,4837.98,3021996400,36148815016
2011/5/23,4853.9,4679.53,4853.92,4677.45,4285262200,46854851911
2011/5/24,4656.01,4672.08,4676.84,4590.13,3287198100,36938119960
2011/5/25,4667.64,4618.75,4689.69,4613.68,3418169200,37355369017
2011/5/26,4635.95,4572.94,4662.29,4572.32,3570183800,40354804074
2011/5/27,4561.77,4428.89,4567.23,4425.76,3390238600,37048763813
2011/5/30,4403,4345.05,4427,4339.08,2659257500,28052719748
2011/5/31,4347.99,4444.28,4444.59,4339.63,2647238400,28524372044
2011/6/1,4439.39,4490.89,4494,4424.2,2746729400,29745700595
2011/6/2,4434.86,4430,4452.53,4363.9,3038598800,32797875253
2011/6/3,4425.49,4506.2,4514.31,4424.2,2671969100,29894914280
2011/6/7,4496.96,4547.3,4548.22,4490.62,2535242700,29192307348
2011/6/8,4542.7,4562.97,4568.29,4486.65,2969370400,33398438594
2011/6/9,4552.07,4456.73,4553.71,4456.59,3012745200,33502489779
2011/6/10,4442.51,4469.05,4469.58,4383.2,2716272700,29456674895
2011/6/13,4439.87,4468.79,4475.69,4408.06,2290297400,25594244639
2011/6/14,4466.99,4540.94,4546.73,4461.53,2995558500,33903979110
2011/6/15,4531.36,4499.69,4562.04,4498.78,2954781100,33518283130
2011/6/16,4461.26,4402.14,4466.78,4396.21,2790606900,30663429751
